,title,ingredients,directions,link,source,NER
1358374,Chicken/Sausage Red Wine Stew ,"['2 boneless chicken thighs', '1 sweet italian sausage', '1/2 cup diced red onion', '1/2 red papper, diced', '6 to 7 mushrooms sliced', '3 sprigs fresh rosemary, crushed', '1/2 tsp fennel seed, crushed', '1/2 cup red wine', '1/4 cup water', '1 tbs flour', 'salt and pepper to taste', '1/2 cup brown rice', '1 cup water', '1/2 tsp dried tarragon']","['pre heat oven to 350', 'use an oven proof pan with cover', 'saute vegtables, set aside', 'brown sausage, set asude & cool, slice 1/4 inch thick', 'brown chicken, set aside', 'deglaze pan with wine', 'add flour to water and stir to incorperate', 'add to pan with seasonings and stir', 'place chicken and sausage in pan', 'surround with vegtables', 'over mecium heat bring to simmer', 'cover and place in oven', 'bake 1 hour', '', 'steam rice in water with tarragon, 40 to 45 minutes', '', 'serve meal over brown rice']",www.epicurious.com/recipes/member/views/chicken-sausage-red-wine-stew-52502811,Gathered,"['chicken thighs', 'sweet italian sausage', 'red onion', 'red papper', 'mushrooms', 'rosemary', 'fennel', 'red wine', 'water', 'flour', 'salt', 'brown rice', 'water', 'tarragon']"
1489614,No-Bake Strawberry Cheesecake Pie,"['4 ounces cream cheese, softened', '1/4 cup sugar', '1/2 cup sour cream', '1 teaspoon vanilla extract', '1-3/4 cups whipped topping', '1 cup strawberry glaze', '1 graham cracker crust (9 inches)', '2 pints fresh strawberries, thinly sliced', 'Fresh mint and additional strawberries, optional']","['In a small bowl, beat cream cheese and sugar until smooth. Stir in sour cream and vanilla until blended. Fold in whipped topping.', 'Spread half of the glaze over bottom of crust; layer with strawberries. Top with remaining glaze. Spoon cream cheese mixture over the top. Refrigerate for 2-4 hours or until set. Garnish with mint and additional berries if desired.']",www.tasteofhome.com/recipes/no-bake-strawberry-cheesecake-pie/,Gathered,"['cream cheese', 'sugar', 'sour cream', 'vanilla', 'topping', 'strawberry glaze', 'graham cracker crust', 'fresh strawberries', 'mint']"
581855,M&M Cookies,"['2 c. oleo', '1 1/2 c. white sugar', '1 1/2 c. brown sugar', '4 eggs', '2 tsp. vanilla', '5 c. flour', '1 tsp. baking soda', '1/2 tsp. salt', ""1 1/2 c. (1 lb.) M&M's""]","['Mix butter and sugars.', 'Blend in eggs and vanilla.', 'Add flour, soda and salt.', ""Stir in M&M's."", 'Drop on greased cookie sheet. Bake at 350° for 9 to 11 minutes.', ""Press M&M's on top, if desired.""]",www.cookbooks.com/Recipe-Details.aspx?id=691853,Gathered,"['oleo', 'white sugar', 'brown sugar', 'eggs', 'vanilla', 'flour', 'baking soda', 'salt']"
718527,Vanilla Ice Cream,"['3 c. sugar', '1 large can Pet milk', '1 large can condensed milk', '1 1/2 tsp. vanilla', '2 eggs']","['Put sugar and can of condensed milk in a large mixing bowl. Pour in blender and beat on high.', 'Then empty in the freezer and add the rest of the ingredients.']",www.cookbooks.com/Recipe-Details.aspx?id=318577,Gathered,"['sugar', 'Pet milk', 'condensed milk', 'vanilla', 'eggs']"
1384025,Carrot Muffins,"['1 1/4 cups all-purpose flour', '3/4 cup whole wheat flour', '1 1/2 teaspoons ground cinnamon', '2 teaspoons baking soda', '1 teaspoon kosher salt', '3/4 cup sugar', '3/4 cup packed light brown sugar', '3/4 cup vegetable oil', '1/4 cup plus 2 tablespoons olive oil', '1 teaspoon vanilla extract', '3 large eggs', '3 cups grated carrots', '1 cup golden raisins (optional)']","['Heat the oven to 400 degrees F and line 2 12-muffin tins with paper liners.', 'Sift together the flours, cinnamon, baking soda, and salt.', 'Using a standing mixer fitted with a paddle attachment, beat the sugar, oil, and vanilla until smooth. Add the eggs, one at a time.', 'With the mixer on low speed, add half of the dry ingredients. Add the grated carrots and the raisins if using to the remaining flour, mix well, and add them to the batter. Mix until just combined.', 'Scoop the batter into the liners, filling each about 3/4 full (you should end up with 22 muffins). Bake for 10 minutes then reduce the oven temperature to 350 degrees and cook for another 30 to 35 minutes, until a toothpick comes out clean. Cool the muffins completely on a rack before serving.']",food52.com/recipes/22063-carrot-muffins,Gathered,"['flour', 'whole wheat flour', 'ground cinnamon', 'baking soda', 'kosher salt', 'sugar', 'brown sugar', 'vegetable oil', 'olive oil', 'vanilla', 'eggs', 'carrots', 'golden raisins']"
538727,Oriental Chicken Wings(Serves 8)  ,"['3 lb. chicken wings', '6 cloves garlic', '2 tsp. dry mustard', '2 tsp. Accent seasoning', '1 tsp. ginger', '2 Tbsp. molasses', '1/4 c. vinegar', '2/3 c. soy sauce', '1/4 c. brown sugar', '1/4 c. cooking oil']","['Cut chicken wings into 2 pieces; trim off outer end.', 'Mix the remaining ingredients in a large bowl; marinate the wings in the mixture overnight.', 'Drain wings; place in a covered baking dish. Bake for 1 hour at 325°.', 'Remove wings from dish; place on a broiler pan.', 'Return to the oven and bake for 2 hours at 250°.']",www.cookbooks.com/Recipe-Details.aspx?id=480852,Gathered,"['chicken', 'garlic', 'dry mustard', 'Accent seasoning', 'ginger', 'molasses', 'vinegar', 'soy sauce', 'brown sugar', 'cooking oil']"
370475,3 Day Slaw,"['1 large head cabbage, chopped', '2 medium onions, chopped', '1 sweet bell pepper, chopped', '1 c. sugar', '1/4 c. oil', '1 Tbsp. celery seed', '1 Tbsp. salt', '1 Tbsp. mustard seed', '1 c. vinegar']","['In a large bowl, combine cabbage, onions and bell pepper.', 'Set aside.', 'In saucepan, mix sugar, vinegar, oil, salt, celery seed and mustard seed.', 'Mix well and bring to a boil. Set aside to cool.', 'Pour over cabbage, onions, etc.', 'Mix together and refrigerate.', 'Will keep for 4 weeks.']",www.cookbooks.com/Recipe-Details.aspx?id=707488,Gathered,"['head cabbage', 'onions', 'sweet bell pepper', 'sugar', 'oil', 'celery', 'salt', 'vinegar']"
1072985,Broiled Zucchini With Herbs,"['2 teaspoons olive oil', '2 garlic cloves, minced or pressed', '2 tablespoons fresh lemon juice', '1/4 cup finely chopped fresh parsley', '1/2 cup finely chopped scallion', '1 teaspoon minced fresh mint leaves', '1/2 teaspoon dried thyme', '1 dash salt', '1/4 teaspoon ground black pepper', '5 cups sliced zucchini (about 1 1/2 pounds)', '1 tomatoes, cut into wedges']","['Preheat the broiler.', 'In a large bowl, whisk together the olive oil, garlic, lemon juice, parsley, scallions, mint, thyme, salt, and pepper.', 'Toss the zucchini and tomatoes with this mixture until evenly coated.', 'Place the vegetables on a baking sheet and broil for 8 to 10 minutes, until the zucchini is just tender.', 'Serve immediately.']",www.food.com/recipe/broiled-zucchini-with-herbs-47755,Gathered,"['olive oil', 'garlic', 'lemon juice', 'parsley', 'scallion', 'mint', 'thyme', 'salt', 'ground black pepper', 'zucchini', 'tomatoes']"
729169,Oreo Pudding Cake,"['28 Oreo cookies', '1 stick margarine', '9 oz. cream cheese', '9 oz. Cool Whip (large container)', '1 c. powdered sugar', '3 c. milk', '1 (3 oz.) pkg. vanilla instant pudding', '1 (3 oz.) pkg. chocolate instant pudding']",['In 9 x 13 x 2-inch pan:'],www.cookbooks.com/Recipe-Details.aspx?id=417079,Gathered,"['cookies', 'margarine', 'cream cheese', 'powdered sugar', 'milk', 'vanilla instant pudding', 'chocolate instant pudding']"
1574271,Bananas Foster Bundt Cake,"['1/2 sticks Unsalted Butter, melted', '1-1/2 cup Light Brown Sugar, Divided', '1 whole Banana, Peeled And Sliced', '1/4 cups Walnuts, Chopped', '2 cups All-purpose Flour', '1 teaspoon Baking Powder', '1 teaspoon Baking Soda', '1/2 teaspoons Salt', '1 stick Unsalted Butter, At Room Temperature', '2 whole Eggs', '1 cup Buttermilk', '2 teaspoons Vanilla', '2 whole Bananas, Mashed']","['Preheat the oven to 350°F, and butter and flour a 12-cup bundt pan.', 'Pour the melted butter into the bottom of the bundt pan, sprinkle on 1/2 cup of the sugar, layer on the sliced banana and top with the chopped nuts.', 'In a bowl, combine the flour, baking powder, baking soda and salt. In a separate bowl, beat together the remaining sugar, room temperature butter, eggs, buttermilk and vanilla. Mix in the mashed bananas. Slowly beat the dry ingredients into the wet mixture until everything is fully incorporated.', 'Pour the batter over the walnuts in the bundt pan and bake in the pre-heated 350° oven for 45 minutes or until a toothpick comes out clean. Cool thoroughly in the pan (allow a couple of hours) before turning the cake out onto a plate or stand. Dust with powdered sugar, if desired.']",tastykitchen.com/recipes/desserts/bananas-foster-bundt-cake/,Gathered,"['Butter', 'Light Brown Sugar', 'Banana', '¼', 'All-purpose', 'Baking Powder', 'Baking Soda', 'Salt', 'Butter', 'Eggs', 'Buttermilk', 'Vanilla', 'Bananas']"
843396,Caramel Biscuit Ring-A-Round,"['1/3 c. packed brown sugar', '3 Tbsp. margarine', '1 Tbsp. water', '1/3 c. chopped nuts', '1 (8 oz.) can refrigerator biscuits']","['Combine brown sugar, margarine and water in a 1-quart glass casserole.', 'Microwave at 75% power for about 2 minutes, or until butter is melted.', 'Stir in nuts.', 'Separate biscuits; cut each one into quarters.', 'Add biscuits to sugar mixture; stir to coat each piece.', 'Push biscuits and coating away from center of dish and set a custard cup or glass, open end up, in center.', 'Microwave at 75% power for 5 to 5 1/2 minutes, or until biscuits are no longer doughy.', 'Let stand for 2 minutes.', 'Twist out custard cup and invert biscuit ring onto serving plate.', 'Serve warm with forks to pull sections apart.']",www.cookbooks.com/Recipe-Details.aspx?id=617155,Gathered,"['brown sugar', 'margarine', 'water', 'nuts', 'refrigerator biscuits']"
1986882,Aioli,"['1 cup homemade or commercial mayonnaise', '3 to 4 cloves garlic, minced']","['In a blender or food processor, blend the mayonnaise with the garlic until smooth.', 'Cover and refrigerate until ready to serve, up to 10 days.']",www.cookstr.com/recipes/aioli,Recipes1M,"['mayonnaise', 'garlic']"
1624528,Mozzarella Dip,"['2 cups mayonnaise', '1 cup sour cream', '1 cup shredded mozzarella cheese', '2 tablespoons grated Parmesan cheese', '1 tablespoon dried minced onion', '1 teaspoon sugar', '1 garlic salt dsh each, and seasoned']","['In a bowl, combine all ingredients; mix well.', 'Cover and chill for at least 1 hour.', 'Serve with rawvegetables or tortilla chips.']",www.yummly.com/recipe/Mozzarella-Dip-1665618,Gathered,"['mayonnaise', 'sour cream', 'mozzarella cheese', 'Parmesan cheese', 'onion', 'sugar', 'garlic']"
1028680,Punch Bowl Trifle,"['2 (20 ounce) cans crushed pineapple', '1 (18 ounce) box yellow cake mix (i prefer Duncan Hines)', '1 (5 1/8 ounce) box instant vanilla pudding', '2 (21 ounce) cans cherry pie filling', '4 bananas, sliced', '2 (15 1/4 ounce) cans fruit cocktail', '2 (11 ounce) cans mandarin oranges', '12 ounces Cool Whip', '1 (7 ounce) package coconut']","['Drain pineapple, reserving juice, set the pineapple aside.', 'Prepare cake in a greased 13 x 9 pan. Cool.', 'Meanwhile, prepare pudding according to package directions.', 'Cut the cake into 1 inch cubes, place half in a 6 quart punch bowl.', 'Top with half the pudding, pie filling, pineapple, bananas, fruit cocktail, oranges, whipped tipping and coconut.', 'Repeat layers. Cover and chill for 6 hours or overnight.']",www.food.com/recipe/punch-bowl-trifle-121354,Gathered,"['pineapple', 'yellow cake', 'vanilla pudding', 'cherry pie filling', 'bananas', 'fruit cocktail', 'mandarin oranges', 'coconut']"
1776897,Monkey Bread Recipe,"['18 frzn rolls', '1 cube butter', '1 c. brown sugar', '1 teaspoon cinnamon', '3/4 c. minced nuts', '1 box butterscotch pudding (not instant)']","['Mix sugar, cinnamon, nuts and dry pudding mix together.', 'In a well-greased bundt pan, put 1/3 of dry fold in bottom of pan, then put in 9 rolls and pour 1/3 of melted butter over rolls.', 'Add in another 1/3 of dry mix, repeat another 9 rolls and 1/3 melted butter.', 'Last 1/3 of dry mix, 9 rolls, and remainder of butter.', 'Cover with towel, set overnight.', 'Bake 1 hour in 350 degree oven.', 'Turn out upside down to serve.']",cookeatshare.com/recipes/monkey-bread-45863,Recipes1M,"['rolls', 'butter', 'brown sugar', 'cinnamon', 'nuts', 'butterscotch pudding']"
980325,Sweet Potato Casserole,"['2 1/4 cups brown sugar', '2 cups pecans', '2 1/4 cups butter', '3 cups sweet potatoes', '1/3 cup granulated sugar', '1/2 teaspoon vanilla', '2 eggs', '2 (10 1/2 ounce) bags marshmallows']","['Combine BROWN SUGAR, CHOPPED PECANS, and MELTED BUTTER into mixing bowl. This is the bottom crust. Set aside.', 'Peel and chop SWEET POTATO into cubes. Boil until fork tender (approximately 20 minutes). Mash.', 'Preheat oven to 350.', 'Combine in order (boiled and mashed) SWEET POTATO, chopped PECANS, BROWN SUGAR, SUGAR, SALT, VANILLA, well beaten EGGS, melted BUTTER. Mix thoroughly.', 'Pour CRUST mixture onto the bottom of the dish, spread evenly.', 'Plop CASSEROLE mixture on top of pecan crust. Spread the top evenly.', 'Bake for 30 MINUTES.', 'Add a layer of MARSHMALLOWS on top for the last 10 MINUTES.']",www.food.com/recipe/sweet-potato-casserole-510044,Gathered,"['brown sugar', 'pecans', 'butter', 'sweet potatoes', 'granulated sugar', 'vanilla', 'eggs', 'marshmallows']"
255127,Hot Crabmeat Bake,"['8 oz. pkg. cream cheese', '1/2 c. salad dressing', '2 Tbsp. dry white wine', '1 Tbsp. horseradish', '1/4 c. ground nut meat (pecans or walnuts)', '6 oz. can crabmeat, drained and flaked', '2 Tbsp. minced onion', '1/4 tsp. Worcestershire sauce']","['Mix all ingredients except nuts.', 'Put mixture in casserole dish.', 'Sprinkle nuts on top.', 'Bake at 375° for 15 minutes.', 'Serve hot with crackers.']",www.cookbooks.com/Recipe-Details.aspx?id=289988,Gathered,"['cream cheese', 'salad dressing', 'white wine', 'horseradish', 'ground nut meat', 'crabmeat', 'onion', 'Worcestershire sauce']"
267810,Scalloped Potatoes And Ham,"['2 c. diced, cooked ham', '2 lb. potatoes, thinly sliced', '2 c. milk', '1/2 tsp. dry mustard', '1 small onion, grated', '3 Tbsp. butter']","['Butter the bottom and sides of a 2-quart baking dish. Beginning with the ham, alternate layers of ham and potatoes, finishing with a layer of potatoes.', 'Combine the milk, mustard and onion.', 'Pour over all.', 'Dot with butter.', 'Cover and bake in preheated 325° oven for 1 hour or until potatoes are tender. Remove cover and continue baking for 15 minutes or until brown.']",www.cookbooks.com/Recipe-Details.aspx?id=903356,Gathered,"['potatoes', 'milk', 'dry mustard', 'onion', 'butter']"
238348,Low-Fat Creamy Carrot Soup,"['2 Tbsp. margarine', '1 rib celery, chopped', '2 c. chicken broth', '1 c. skim milk', '1/4 tsp. nutmeg', '1/4 c. chopped onion', '2 c. carrots, pared and sliced', '1 tsp. salt', '1/8 tsp. pepper']","['Melt margarine in a saucepan.', 'Add onion and celery.', 'Cook until tender.', 'Add carrots and cook for 5 minutes.', 'Add broth. Bring to a boil.', 'Cover and cook over medium heat for 20 minutes or until carrots are tender.', 'Puree in electric blender or food mill.', 'Pour into saucepan; add milk, salt, nutmeg and pepper. Simmer 5 to 10 minutes; do not boil.', 'Serves 6.']",www.cookbooks.com/Recipe-Details.aspx?id=261397,Gathered,"['margarine', 'celery', 'chicken broth', 'milk', 'nutmeg', 'onion', 'carrots', 'salt', 'pepper']"
1722816,Easy Creamy Mexican Artichoke Dip,"['1 (14 ounce) can artichoke hearts, canned, not marinated', '1 (4 ounce) canchopped green chili peppers', '1 cup parmesan cheese', '1 cup mayonnaise']","['Heat oven to 350.', 'Stir all ingredients together.', 'In small casserole dish, bake uncovered for 20 minutes.', 'Serve with tortilla chips.']",www.food.com/recipe/easy-creamy-mexican-artichoke-dip-226808,Recipes1M,"['green chili peppers', 'parmesan cheese', 'mayonnaise']"
1593459,Homemade Slice And Bake Sugar Cookies,"['2 cups butter or margarine', '2 cups granulated sugar', '3 eggs', '2 teaspoons vanilla extract', '1 teaspoon lemon extract', '6 cups unbleached flour', '1 teaspoon baking soda']","['Cut four 14"" x 12"" pieces of waxed paper or plastic wrap. Set aside.', 'In a bowl, cream butter or margarine with the sugar. Beat in vanilla and lemon extracts and eggs until light and fluffy. In a bowl, combine flour and baking soda. Stir flour mixture into egg and butter mixture; blend well.', 'Divide the dough into 4 pieces. Shape each piece into an 8"" - 10"" roll.', 'Wrap rolls in waxed paper. Place the rolls in a rectangular freezer container with a tight fitting lid, or into a large freezer zip-lock bag, or wrap well in a piece of heavy duty']",www.yummly.com/recipe/Homemade-Slice-and-Bake-Sugar-Cookies-1659284,Gathered,"['butter', 'sugar', 'eggs', 'vanilla', 'lemon', 'flour', 'baking soda']"
824834,Apple Nut Pudding,"['3/4 cup sugar', '1 well beaten egg', '1/2 teaspoon salt', '1 teaspoon vanilla', '1 cup chopped apples', '1/2 cup chopped nuts', '1/2 cup flour', '1 teaspoons baking powder']","['Gradually add sugar to egg.', 'Beating until sugar is dissolved.', 'Add sifted dry ingredients.', 'Stir in vanilla and nuts. Pour into 8 inch square pan.', 'Bake at 350° for 35 - 40 minutes. Serve with ice cream or whipped cream.']",www.cookbooks.com/Recipe-Details.aspx?id=44236,Gathered,"['sugar', 'egg', 'salt', 'vanilla', 'apples', 'nuts', 'flour', 'baking powder']"
874771,Flat Dumplings For Chicken And Dumplings,"['1 c. flour', '1/4 tsp. baking powder', '1/4 c. chicken fat and Crisco, combined', '1 egg', '1/4 tsp. salt', '2 Tbsp. Pet milk']","['Sift together flour, baking powder and salt.', 'Cut in shortening as for pie dough.', 'Beat egg and milk; add to flour. Form into a ball.', 'Pinch off small pieces and roll very thin. Success of dumplings is the thinness.', 'Cut in 2-inch squares. Cook 20 minutes in hot broth.']",www.cookbooks.com/Recipe-Details.aspx?id=388011,Gathered,"['flour', 'baking powder', 'chicken', 'egg', 'salt', 'Pet milk']"
2205832,Sweetcorn ice cream recipe,"['550 g (19.4oz) sweetcorn', '1 pinch saffron', '470 ml (16.5fl oz) milk', '470 ml (16.5fl oz) double cream', '150 g (5.3oz) sugar', '10 free range egg yolks']","['Add the sweetcorn and saffron to a pot along with the milk, cream and 100g of the sugar.', 'Bring the mixture to a boil, stirring, then turn off the heat.', 'Using a hand blender, puree the mixture.', 'Infuse for one hour.', 'Bring the mixture back to a simmer, then turn off the heat.', 'In a small bowl, whisk the egg yolks and remaining 50g of sugar using a hand mixer.', 'Add a splash of the hot cream mixture to the yolks, stirring constantly.', 'Add the yolk mixture to the saucepan while stirring.', 'Cook over medium-low heat, stirring constantly, until the custard thickens enough to coat the spoon, about 10 minutes.', 'Pass the custard through a fine sieve, pressing down on the solids.', 'Discard the solids.', 'Let the custard cool, then cover and chill for at least four hours.', 'Churn in an ice cream maker according to the instruction book.', 'Freeze as instructed.']",www.lovefood.com/guide/recipes/45861/sweetcorn-ice-cream-recipe,Recipes1M,"['sweetcorn', 'saffron', 'sugar', 'range egg yolks']"
332780,Potato Salad,"['8 potatoes', '5 eggs, boiled and chopped', '1 stalk celery, chopped', '1/2 c. sweet pickle relish', '1 medium onion, chopped', '1 small jar salad olives, cut up']","['Boil potatoes in their skins and cook until done, approximately 30 to 40 minutes.', 'Do not overcook.', 'Let potatoes cool off by draining water off and set aside.', 'Should take about 1 hour to cool.', 'Remove skins from potatoes and cube them.', 'In a big bowl combine the potatoes and the other ingredients.']",www.cookbooks.com/Recipe-Details.aspx?id=585337,Gathered,"['potatoes', 'eggs', 'celery', 'sweet pickle relish', 'onion', 'salad olives']"
287936,Caramel Icing,"['1 can evaporated milk', '2 c. sugar', '1 stick butter', '1 tsp. vanilla flavoring']","['Mix and stir over medium heat.', 'Cook until it forms a firm ball when tested in water.', 'Spread on your desired cake.']",www.cookbooks.com/Recipe-Details.aspx?id=520418,Gathered,"['milk', 'sugar', 'butter', 'vanilla flavoring']"
480666,Easy Salmon Loaf,"['1 c. cooked macaroni (1/2 c. uncooked macaroni)', '1 c. dry bread crumbs', '1 (1 lb.) can salmon', '1 1/2 c. milk', '1/4 c. oil', '1 c. American cheese, grated', '1/4 c. green pepper, chopped', '1/4 c. onion, chopped', '1/4 c. celery, chopped', '1 tsp. salt', '3 eggs, slightly beaten']","['Combine all ingredients.', 'Mix well. Place in greased 5 x 11-inch loaf pan. Bake 1 hour at 325°.']",www.cookbooks.com/Recipe-Details.aspx?id=687650,Gathered,"['macaroni', 'bread crumbs', 'salmon', 'milk', 'oil', 'American cheese', 'green pepper', 'onion', 'celery', 'salt', 'eggs']"
1469653,Sweet-And-Sour Shrimp With Onion And Red Pepper,"['1 pound unpeeled, medium-size fresh shrimp', '1 tablespoon dry sherry', '6 teaspoons cornstarch, divided', '3 teaspoons vegetable oil, divided', '4 thin slices fresh ginger', '4 green onions, cut into 1-inch pieces', '2 garlic cloves, minced', '1 small red bell pepper, cut into thin strips', '1 (6-ounce) can unsweetened pineapple juice', '1 tablespoon cider vinegar', '1 tablespoon lite soy sauce', '1 tablespoon orange juice concentrate, thawed', '2 tablespoons water', '2 cups hot cooked jasmine rice']","['Peel shrimp, and devein, if desired.', 'Whisk together sherry and 2 teaspoons cornstarch in a medium bowl; add shrimp, coating well. Chill 30 minutes, turning occasionally.', 'Heat 2 teaspoons vegetable oil in a large nonstick skillet or wok at medium-high 2 minutes. Add ginger and next 3 ingredients; cook 1 minute or until tender. Remove vegetables from skillet; discard ginger.', 'Remove shrimp from marinade, discarding marinade.', 'Heat remaining 1 teaspoon vegetable oil in skillet; add shrimp, and cook, stirring often, 2 minutes or until shrimp turn pink. Return vegetables to skillet; stir in pineapple juice and next 3 ingredients.', 'Stir together 2 tablespoons water and remaining 4 teaspoons cornstarch; add to shrimp mixture. Bring to a boil; cook, stirring constantly, 1 minute or until thickened. Serve over rice. Prep: 40 min., Chill: 30 min., Cook: 6 min.', ""*Most of the cholesterol comes from shrimp. But they're also low in saturated fat, which makes them a nutritious, heart-healthy choice.""]",www.myrecipes.com/recipe/sweet-and-sour-shrimp-with-onion-red-pepper,Gathered,"['shrimp', 'sherry', 'cornstarch', 'vegetable oil', 'thin slices fresh ginger', 'green onions', 'garlic', 'red bell pepper', 'pineapple juice', 'cider vinegar', 'soy sauce', 'orange juice concentrate', 'water', 'jasmine rice']"
1623350,Fried Catfish Nuggets ,"['5 fish nuggets', '1/2 cup yellow cornmeal', '1/2 teaspoon garlic powder each, black pepper.seasoning salt.', '12 cups corn oil']","['Combine cornmeal and spices mix well.', 'Heat cooking oil in a non stick skillet. on medium', 'Combine & shack fish to seasoned cornmeal in plastic bag .', 'Put fish in hot oil cook on first side 2min. or until golden brown', 'Turn fish over cook about a min.or until golden brown', 'Take out fish drain oil put on paper towel']",www.yummly.com/recipe/FRIED-CATFISH-NUGGETS--1196930,Gathered,"['fish nuggets', 'yellow cornmeal', 'garlic', 'corn oil']"
535833,"Lemon Jello Cake(A Tart, Lemony Pound Cake)  ","['1 (3 oz.) pkg. lemon Jello', '1 c. sugar', '1 c. boiling water', '1/3 c. oil', '2 Tbsp. lemon extract', '1 white cake mix', '4 eggs', 'Powdered sugar', 'Lemon juice']","['Combine Jello and sugar in a large mixing bowl.', 'Pour the boiling water over them and stir until dissolved.', 'Add the oil and lemon extract and stir.', 'Add in the cake mix and beat thoroughly. Add the eggs, one at a time and mix for 1 minute after each.', 'Pour into greased and floured tube pan and bake at 350° for about an hour or until a knife inserted comes out clean.', 'Cool in pan for about 10 minutes, then remove from pan and cool on rack.', 'Make a glaze of powdered sugar and real lemon juice and drizzle over the warm cake.', 'You can make as much glaze as you like and make it as thick or think as you like by adjusting either of the ingredients.']",www.cookbooks.com/Recipe-Details.aspx?id=14849,Gathered,"['lemon Jello', 'sugar', 'boiling water', 'oil', 'lemon extract', 'white cake', 'eggs', 'Powdered sugar', 'Lemon juice']"
163371,Squash Casserole,"['1 lb. yellow summer squash', '1 large onion, chopped', '1 pkg. herbed stuffing mix', '1 (8 oz.) carton sour cream', '1 can cream of chicken soup', '1 small jar pimento', '1 Tbsp. sugar', 'salt and pepper to taste', '1 stick margarine', '1 carrot, grated (optional)']","['Cook squash and onion until tender; drain.', 'Add salt, pepper and sugar. Add 1/2 package of stuffing mix, sour cream, soup, grated carrot and pimento.', 'Mix well.', 'In 9 x 13-inch Pyrex casserole dish, melt stick of margarine.', 'Remove from oven and pour in remaining bag of stuffing mix and mix with margarine until damp.', 'Reserve half of stuffing.', 'Pour first mixture (squash) over crumb mixture, spread until smooth and top with remaining crumbs. Cover with foil and bake at 350° for 30 minutes.']",www.cookbooks.com/Recipe-Details.aspx?id=192930,Gathered,"['yellow summer', 'onion', 'herbed stuffing mix', 'sour cream', 'cream of chicken soup', 'pimento', 'sugar', 'salt', 'margarine', 'carrot']"
859179,Barbecued Sauerkraut,"['1 lb. hamburger, brown in skillet', '2 c. tomato juice', '1 pt. sauerkraut', '1 c. brown sugar']","['Mix all ingredients together and place in an uncovered baking dish.', 'Bake 40 to 45 minutes at 300°.']",www.cookbooks.com/Recipe-Details.aspx?id=409201,Gathered,"['hamburger', 'tomato juice', 'sauerkraut', 'brown sugar']"
787551,Alan'S Creamed Chicken Breast,"['1 medium onion, minced fine', '2 (12 oz.) cans cream of chicken soup', '2 (12 oz.) cans cream of mushroom soup', '1 (16 oz.) container sour cream', '1/2 pt. milk', '8 to 10 pieces chicken breasts']","['In large bowl, mix together first 5 items.', 'Place chicken in a large roasting pan and cover with mixture.', 'Bake at 350° until chicken is cooked, approximately 30 minutes or more.', 'Serve over rice, pasta or boiled potatoes.']",www.cookbooks.com/Recipe-Details.aspx?id=457400,Gathered,"['onion', 'cream of chicken soup', 'cream of mushroom soup', 'sour cream', 'milk', 'chicken breasts']"
329684,No-Fat Apple Cake,"['2 large apples, peeled and cut into small pieces', '1 c. walnuts, crushed', '1 Tbsp. cinnamon', '1 1/2 c. flour', '1 Tbsp. baking soda', '1 Tbsp. baking powder', '3 eggs', '1 c. sugar']","['In small bowl, mix apples, walnuts and cinnamon; put aside.']",www.cookbooks.com/Recipe-Details.aspx?id=759646,Gathered,"['apples', 'walnuts', 'cinnamon', 'flour', 'baking soda', 'baking powder', 'eggs', 'sugar']"
503524,Caesar Salad,"['1 tsp. garlic', '1 egg yolk', '2 anchovies', '1/4 tsp. Dijon mustard', '1 Tbsp. lemon juice', '1 c. olive oil', 'salt', 'cracked black pepper', '2 large heads romaine lettuce, washed, ribbed and patted dry', '3 oz. Parmigiana-Reggiano cheese', '12 oz. salad croutons', 'splash of Worcestershire']","['Rub the inside of a large wooden bowl with the garlic cloves. Remove the garlic cloves and finely chop. Add the egg yolks, remaining garlic, anchovies and mustard to the bowl. Whisk until all of the ingredients are incorporated. Whisk in the lemon juice. Slowly drizzle in the olive oil while whisking constantly. Whisk until all of the ingredients are incorporated.', 'Season the dressing with salt and pepper. Gently tear the lettuce into bite-size portions and add to the salad bowl. Using a handheld grater, grate the cheese into the bowl. Add the croutons. Toss the salad', 'completely and re-season if necessary. Serve the salad on cold salad plates. Yield: 6 to 8 servings.']",www.cookbooks.com/Recipe-Details.aspx?id=126588,Gathered,"['garlic', 'egg yolk', 'anchovies', 'Dijon mustard', 'lemon juice', 'olive oil', 'salt', 'cracked black pepper', 'Parmigiana-Reggiano cheese', 'salad croutons', 'Worcestershire']"
1024412,Homemade Chili Powder,"['1/4 cup sweet paprika', '1 tablespoon garlic powder', '1 tablespoon cayenne pepper', '1 tablespoon onion powder', '1 tablespoon dried oregano', '2 teaspoons ground cumin']","['Place all ingredients in a small container with a tight-fitting lid and shake to mix.', 'Store in a cook, dark place.']",www.food.com/recipe/homemade-chili-powder-410093,Gathered,"['sweet paprika', 'garlic', 'cayenne pepper', 'onion powder', 'oregano', 'ground cumin']"
105697,Boston Lettuce Salad,"['1 head Boston lettuce', '6 hard-boiled eggs', '1 onion', '6 carrots, grated', '1 bottle Blue cheese dressing']","['Wash lettuce.', 'Combine eggs, onion and carrots with lettuce. Mix with Blue cheese dressing.']",www.cookbooks.com/Recipe-Details.aspx?id=244408,Gathered,"['Boston lettuce', 'eggs', 'onion', 'carrots', 'cheese dressing']"
